CustomerID,Recency,Frequency,Monetary,AveragePurchaseValue,CustomerLifetimeValue
12346,326,1,77183.6,77183.6,77183.6
12347,2,7,4310.0,23.681318681318682,4310.0
12348,75,4,1797.24,57.97548387096774,1797.24
12349,19,1,1757.55,24.076027397260273,1757.55
12350,310,1,334.4,19.670588235294115,334.4
12352,36,8,2506.04,29.482823529411764,2506.04
12353,204,1,89.0,22.25,89.0
12354,232,1,1079.4,18.610344827586207,1079.4
12355,214,1,459.4,35.33846153846154,459.4
12356,23,3,2811.43,47.65135593220339,2811.43
12357,33,1,6207.67,47.38679389312977,6207.67
12358,2,2,1168.06,61.47684210526315,1168.06
12359,58,4,6310.03,25.755224489795918,6310.03
12360,52,3,2662.06,20.63612403100775,2662.06
12361,287,1,189.9,18.990000000000002,189.9
12362,3,10,5226.23,19.647481203007516,5226.23
12363,110,2,552.0,24.0,552.0
12364,8,4,1313.1,15.448235294117646,1313.1
12365,291,2,641.38,29.153636363636362,641.38
12367,4,1,168.9,15.354545454545455,168.9
12370,51,4,3541.94,21.33698795180723,3541.94
12371,45,2,1887.96,29.96761904761905,1887.96
12372,72,3,1298.04,24.962307692307693,1298.04
12373,311,1,364.6,26.042857142857144,364.6
12374,25,1,742.9300000000001,22.513030303030305,742.9300000000001
12375,11,2,457.5,26.91176470588235,457.5
12377,315,2,1628.12,21.144415584415583,1628.12
12378,130,1,4008.62,18.30420091324201,4008.62
12379,82,2,852.24,21.306,852.24
12380,22,4,2724.81,26.200096153846154,2724.81
12381,5,5,1845.31,21.21045977011494,1845.31
12383,185,5,1850.56,18.69252525252525,1850.56
12384,29,2,585.27,21.676666666666666,585.27
12386,338,2,401.9,40.19,401.9
12388,16,6,2780.66,27.8066,2780.66
12390,80,1,549.84,17.1825,549.84
12391,22,1,439.66,4.72752688172043,439.66
12393,72,4,1582.6000000000001,24.728125000000002,1582.6000000000001
12394,64,2,1272.48,47.12888888888889,1272.48
12395,19,12,3018.63,19.350192307692307,3018.63
12397,36,2,2409.9,19.126190476190477,2409.9
12398,46,1,1635.6599999999999,19.24305882352941,1635.6599999999999
12399,119,4,1108.65,18.790677966101697,1108.65
12401,303,1,84.3,16.86,84.3
12402,323,1,225.6,20.509090909090908,225.6
12403,50,1,427.7,85.53999999999999,427.7
12405,149,1,1710.39,31.67388888888889,1710.39
12406,22,2,3415.3,32.52666666666667,3415.3
12407,50,5,1708.1200000000001,22.183376623376624,1708.1200000000001
12408,33,5,2888.55,27.51,2888.55
12409,79,3,11072.67,101.58412844036697,11072.67
12410,309,2,693.3299999999999,26.666538461538458,693.3299999999999
12412,75,3,1226.88,20.112786885245903,1226.88
12413,67,3,758.1,19.95,758.1
12414,217,3,562.41,31.244999999999997,562.41
12415,24,21,124914.53,174.95032212885152,124914.53
12417,3,9,3649.1,19.005729166666665,3649.1
12418,113,1,668.58,19.664117647058823,668.58
12420,64,1,600.39,20.70310344827586,600.39
12421,16,4,807.04,17.93422222222222,807.04
